source,target,relation,relation_id
397,3606,HAS_EXPENDITURE,3
352,3611,HAS_EXPENDITURE,3
349,3621,HAS_EXPENDITURE,3
414,64,TO_DESTINATION,0
291,3617,HAS_EXPENDITURE,3
349,3581,IN_YEAR,2
234,87,TO_DESTINATION,0
345,3606,HAS_EXPENDITURE,3
307,3575,HAS_PURPOSE,1
294,3615,HAS_EXPENDITURE,3
319,3618,HAS_EXPENDITURE,3
240,3622,HAS_EXPENDITURE,3
221,74,TO_DESTINATION,0
246,3620,HAS_EXPENDITURE,3
409,3581,IN_YEAR,2
367,3623,HAS_EXPENDITURE,3
308,3621,HAS_EXPENDITURE,3
399,3620,HAS_EXPENDITURE,3
383,3615,HAS_EXPENDITURE,3
287,3617,HAS_EXPENDITURE,3
239,3623,HAS_EXPENDITURE,3
277,3617,HAS_EXPENDITURE,3
353,3606,HAS_EXPENDITURE,3
361,3618,HAS_EXPENDITURE,3
291,3609,HAS_EXPENDITURE,3
355,123,TO_DESTINATION,0
415,3615,HAS_EXPENDITURE,3
350,3610,HAS_EXPENDITURE,3
215,39,TO_DESTINATION,0
276,3615,HAS_EXPENDITURE,3
309,3613,HAS_EXPENDITURE,3
313,3610,HAS_EXPENDITURE,3
361,3608,HAS_EXPENDITURE,3
345,3623,HAS_EXPENDITURE,3
216,3615,HAS_EXPENDITURE,3
393,3619,HAS_EXPENDITURE,3
442,63,TO_DESTINATION,0
335,3616,HAS_EXPENDITURE,3
359,3617,HAS_EXPENDITURE,3
308,3623,HAS_EXPENDITURE,3
233,3612,HAS_EXPENDITURE,3
400,3609,HAS_EXPENDITURE,3
307,3618,HAS_EXPENDITURE,3
330,96,TO_DESTINATION,0
365,3614,HAS_EXPENDITURE,3
272,3623,HAS_EXPENDITURE,3
295,62,TO_DESTINATION,0
435,3609,HAS_EXPENDITURE,3
371,112,TO_DESTINATION,0
273,97,TO_DESTINATION,0
224,3581,IN_YEAR,2
332,3621,HAS_EXPENDITURE,3
237,90,TO_DESTINATION,0
331,3615,HAS_EXPENDITURE,3
364,3611,HAS_EXPENDITURE,3
359,3623,HAS_EXPENDITURE,3
340,3618,HAS_EXPENDITURE,3
247,71,TO_DESTINATION,0
430,3607,HAS_EXPENDITURE,3
440,3612,HAS_EXPENDITURE,3
310,3607,HAS_EXPENDITURE,3
336,3618,HAS_EXPENDITURE,3
361,3623,HAS_EXPENDITURE,3
340,3611,HAS_EXPENDITURE,3
240,3581,IN_YEAR,2
273,68,TO_DESTINATION,0
276,3623,HAS_EXPENDITURE,3
429,3622,HAS_EXPENDITURE,3
422,72,TO_DESTINATION,0
395,3617,HAS_EXPENDITURE,3
299,3622,HAS_EXPENDITURE,3
350,3616,HAS_EXPENDITURE,3
440,3607,HAS_EXPENDITURE,3
365,3581,IN_YEAR,2
254,3622,HAS_EXPENDITURE,3
426,76,TO_DESTINATION,0
271,3621,HAS_EXPENDITURE,3
256,3581,IN_YEAR,2
439,3581,IN_YEAR,2
319,3611,HAS_EXPENDITURE,3
284,3619,HAS_EXPENDITURE,3
422,3609,HAS_EXPENDITURE,3
360,3575,HAS_PURPOSE,1
418,97,TO_DESTINATION,0
245,3616,HAS_EXPENDITURE,3
429,3617,HAS_EXPENDITURE,3
354,3608,HAS_EXPENDITURE,3
247,3612,HAS_EXPENDITURE,3
378,3613,HAS_EXPENDITURE,3
302,3609,HAS_EXPENDITURE,3
