freq,purpose,duration,c_dest,expend,statinfo,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,AL	: 	: 	: 	: 	: 	0 	: 	0.78 	1.93 	: 	: 	: 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,AT	1.67 	2.38 	2.63 	1.65 	1.61 	4.05 	3.44 	3.40 	4.38 	2.62 	6.89 	6.26 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,BE	5.08 	4.76 	3.04 	3.33 	1.21 	1.61 b	1.52 	3.22 	1.96 	1.21 	1.30 	2.20 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,BG	0 b	0 	0 	0 	0 	0 	0 	0 	0.25 	0.41 	0 	0.10 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,CH	: 	: 	1.45 	0.03 	1.34 	0.64 	1.58 	1.35 	6.24 	1.63 	0.16 	: 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,CY	0.52 b	0 	0 	0 	0 	0.24 	0 	0 	0 	0 	0 	0 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,CZ	0 	0.02 	0 	0.08 	0.02 	0.07 	0.41 	0.12 	0 	0.21 	0.04 	0.18 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,DE	4.92 	6.38 	9.14 	5.88 	6.28 	4.56 	1.70 	2.83 	1.98 	0.46 	1.59 	0.87 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,DK	7.63 	14.30 b	14.38 b	13.20 	15.64 	0.15 	0 	4.03 	3.59 	13.66 	2.43 	2.20 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,EA20	2.02 	2.31 	2.70 	2.42 	2.35 	1.70 	1.10 	2.32 	1.12 	1.05 	1.43 	1.24 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,EE	1.29 	3.35 	2.59 	0.04 	0.14 	0 	2.88 	0.48 	1.19 	0.55 	0.19 	0.00 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,EL	12.22 	0.07 	0.18 	0.20 	0.01 	0.58 	0.20 	0.66 	0.30 	0.17 	0.48 	0.11 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,ES	0.50 	0.16 	0.06 	1.85 b	1.08 	0.97 	0.67 	1.78 	0.71 	1.72 	1.64 	1.26 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,EU27_2020	2.08 e	2.52 e	2.76 	2.52 	2.55 	1.81 	1.03 	2.11 	1.05 	1.36 	1.23 	1.08 e
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,FI	2.31 b	2.86 	3.10 	0.89 	3.60 	1.47 	3.72 	8.79 	2.14 	2.67 	1.16 	1.00 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,FR	0.66 b	0.75 	0.70 	0.79 	0.83 	0.74 	0.59 	0.36 	0.67 	0.73 	0.41 	1.55 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,HR	1.01 	0.36 	0 	0 	1.08 	0 	3.33 	1.00 	0 	0.33 	0 	0.19 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,HU	0.07 	0.04 	0.31 	0.07 	0.04 	0.16 	0.19 	0.21 	0.16 	0.03 	0.64 	0.22 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,IE	1.86 	2.09 	2.15 	1.94 	2.95 	2.83 	3.11 	2.51 	3.50 	3.16 	2.88 	1.67 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,IT	0.43 	0 	0.33 b	0.85 	0.32 	0 	0 	8.23 	0 	0 	4.85 	0.14 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,LT	0.12 	0.25 	0.14 	0.35 	0.23 	0.27 	0.30 	0.22 	0.18 	0.16 	0.28 	0.54 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,LU	0 	0 	0 	0 u	7.39 u	6.79 	18.75 	3.43 	3.94 	23.66 	7.61 	0 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,LV	0.20 	0.56 	0.12 	0.23 	0 	0 	0 	0.33 	0 	0 	0.07 	0.08 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,ME	: 	: 	: 	: 	0 	0.06 	: 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,MK	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,MT	0 	0 	2.30 b	0.08 	0.04 	0.08 	0.43 	0.22 	2.52 	3.52 	1.43 	0.25 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,NL	4.09 b	4.07 	0.04 	0.01 	0.18 	0.06 	0.27 	0.36 	0.04 	0.73 	0.09 	0.08 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,NO	: 	0.56 	0.01 	0 	0.27 	0.07 	1.47 	: 	: 	0 	38.33 	28.15 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,PL	2.60 	1.87 	0.30 b	0.39 	0.18 	0.06 	0.47 	0.16 	0.21 	0.22 	0.43 	0.15 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,PT	0.02 	0.02 	0.87 	2.08 	0.46 	0.45 	0.66 	0.48 	0.11 	0.86 	0.57 	0.63 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,RO	0.01 	0.04 	0.03 	0.05 	0.05 	0.13 	0.17 	0.11 	0.16 	0.01 	0.17 	0.22 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,RS	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,SE	: 	: 	3.07 	3.10 	5.26 	10.97 	2.47 	4.22 	0.98 	3.48 	0.85 	: 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,SI	0.05 	0.01 	0 	0.00 	0.01 	0 	0 	0 	0 	4.06 	4.70 	3.08 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,SK	3.34 	0.88 b	0.81 	0.86 	0.30 	0.27 	0 	0 	0 	0.42 	0.12 	0.57 
A,PER,N1-3,DOM,DUR,AVG_NGT,EUR,UK	: @C	16.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
