freq,purpose,c_dest,quant_inc,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,DOM,TOTAL,N_GE1,NR,MT	583761 	456801 	499094 b	551343 	806567 	694915 	632655 	601840 	1042809 	1054303 	974768 	1053246 
A,PER,DOM,TOTAL,N_GE1,NR,NL	106035696 	95564428 	91219727 	91669250 	95254981 	96168244 	95747372 	97650116 	90556390 	115991909 	83299809 	85776817 
A,PER,DOM,TOTAL,N_GE1,NR,NO	: 	37166298 	44991829 	39720165 	41842344 	43610224 	52798928 	: 	: 	74949618 	68891366 	66170505 
A,PER,DOM,TOTAL,N_GE1,NR,PL	180907884 	183494834 	172801458 b	181259811 	197637995 	207862902 	218403492 	226868674 	178397475 	213551517 	233517183 	228993132 
A,PER,DOM,TOTAL,N_GE1,NR,PT	45267559 	56017699 	46816092 	48840077 	48182192 	52986444 	53178455 	59745535 	52591285 	58761568 	58679815 	59533259 
A,PER,DOM,TOTAL,N_GE1,NR,RO	58910475 	59229401 	56886084 	52235501 	53881331 	55526611 	56781838 	59979197 	38432554 	55603365 	54859845 	62868281 
A,PER,DOM,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	4237050 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE1,NR,SE	: 	: 	80264929 	95387692 	94268876 	115232254 	104618559 	108050745 	143337522 	154890733 	174035512 	: 
A,PER,DOM,TOTAL,N_GE1,NR,SI	5358753 	5144431 	4717245 	4303713 	4834375 	4700358 	5134463 	4470999 	3923500 	8584796 	6928053 	8053981 
A,PER,DOM,TOTAL,N_GE1,NR,SK	16404408 	14057444 b	15264601 	18311661 	21245629 	21333741 	24481806 	28575570 	15806699 	15907280 	22667443 	24955645 
A,PER,DOM,TOTAL,N_GE1,NR,UK	289985777 	279794442 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE4,NR,AL	: 	: 	: 	: 	: 	7302424 	: 	10948657 	8831555 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE4,NR,AT	21630813 	22353669 	19686674 	19758988 	21574717 	20203827 	22853271 	21339243 	21439337 	19421513 	21655980 	23188760 
A,PER,DOM,TOTAL,N_GE4,NR,BE	7713838 	7683518 	6107451 	6339055 	8400779 	5817411 b	9711409 	7703080 	8418360 	12103586 	8524413 	8309343 
A,PER,DOM,TOTAL,N_GE4,NR,BG	7629947 	10455001 	7976733 	6799905 	8188223 	11556451 	10952035 	9841010 	7143946 	7492256 	8415377 	10000135 
A,PER,DOM,TOTAL,N_GE4,NR,CH	17044943 	17848641 	18558527 	14267733 	17037677 	18811002 	18404550 	17698487 	24626518 	20753486 	19122089 	: 
A,PER,DOM,TOTAL,N_GE4,NR,CY	2460350 	3025529 	2830300 	1475359 	1883518 	1744309 	1550120 	1680373 	2171147 	2002530 	2048468 	2055058 
