freq,c_dest,purpose,duration,isced11,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N_GE1,ED3_4,NR,NL	8705282 	7824518 	7674975 	7776151 	7637490 	10315923 	9770869 	10282439 	8112519 	9082111 	6028294 	5833757 
A,DOM,PER,N_GE1,ED3_4,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11639898 	11843463 
A,DOM,PER,N_GE1,ED3_4,NR,PT	2574024 	2833398 	: 	2883978 	2989666 	3635913 	3597258 	4092081 	2991479 	3380674 	4165581 	103790 
A,DOM,PER,N_GE1,ED3_4,NR,RO	: 	10694649 	10572937 	10014702 	10226263 	10573322 	10558208 	11401799 	7262470 	10509939 	10639033 	13262549 
A,DOM,PER,N_GE1,ED3_4,NR,RS	: 	: 	: 	: 	: 	: 	486902 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED3_4,NR,SI	1113491 	989648 	947819 	720757 	759926 	: 	: 	: 	: 	1454589 	1239971 	1499543 
A,DOM,PER,N_GE1,ED5-8,NR,AL	: 	: 	: 	: 	: 	817931 	: 	823741 	771468 	: 	: 	: 
A,DOM,PER,N_GE1,ED5-8,NR,AT	2359736 	2723060 	2604483 	2677603 	2839007 	2718274 	3513632 	3801154 	3575194 	3681029 	4414568 	4358975 
A,DOM,PER,N_GE1,ED5-8,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	3438250 	2510239 	2868041 
A,DOM,PER,N_GE1,ED5-8,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	1222773 	1263740 	1280684 
A,DOM,PER,N_GE1,ED5-8,NR,DK	: 	: 	: 	: 	: 	: 	: 	6500644 	6886687 	5342385 	4946106 	4552966 
A,DOM,PER,N_GE1,ED5-8,NR,EE	743800 	721599 	960923 	1053412 	1115937 	1228440 	1750914 	1260751 	872660 	914148 	1055295 	1105058 
A,DOM,PER,N_GE1,ED5-8,NR,ES	35567868 	35316676 	35114370 	53413719 	55448794 	57507111 	58441319 	57795736 	34371388 	50018048 	57997110 	60301997 
A,DOM,PER,N_GE1,ED5-8,NR,FI	10078019 	10315322 	9811902 	10112637 	10973464 	11126327 	11070384 	12395352 	10202437 	13516864 	12649604 	11326848 
A,DOM,PER,N_GE1,ED5-8,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	87531540 	103602595 	107790149 	121851693 
A,DOM,PER,N_GE1,ED5-8,NR,HR	1303189 	1474389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED5-8,NR,HU	: 	: 	: 	4567351 	4273562 	4540389 	4670628 	4562731 	3326029 	: 	: 	: 
A,DOM,PER,N_GE1,ED5-8,NR,LU	13781 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED5-8,NR,LV	1476532 	1122064 	1375833 	1280926 	1305198 	1238151 	1129332 	1148309 	688560 	1159316 	1342188 	1508769 
