head,relation,tail
1314,TO_DESTINATION,CZ
1346,TO_DESTINATION,CZ
1378,TO_DESTINATION,CZ
1410,TO_DESTINATION,CZ
1442,TO_DESTINATION,CZ
1471,TO_DESTINATION,CZ
1505,TO_DESTINATION,CZ
1537,TO_DESTINATION,CZ
1569,TO_DESTINATION,CZ
1602,TO_DESTINATION,CZ
1635,TO_DESTINATION,CZ
1668,TO_DESTINATION,CZ
1700,TO_DESTINATION,CZ
1733,TO_DESTINATION,CZ
1763,TO_DESTINATION,CZ
1799,TO_DESTINATION,CZ
1832,TO_DESTINATION,CZ
1865,TO_DESTINATION,CZ
1897,TO_DESTINATION,CZ
1929,TO_DESTINATION,CZ
1961,TO_DESTINATION,CZ
1992,TO_DESTINATION,CZ
2024,TO_DESTINATION,CZ
2054,TO_DESTINATION,CZ
2089,TO_DESTINATION,CZ
2121,TO_DESTINATION,CZ
2153,TO_DESTINATION,CZ
2186,TO_DESTINATION,CZ
2218,TO_DESTINATION,CZ
2250,TO_DESTINATION,CZ
2282,TO_DESTINATION,CZ
2314,TO_DESTINATION,CZ
2343,TO_DESTINATION,CZ
2377,TO_DESTINATION,CZ
2409,TO_DESTINATION,CZ
2441,TO_DESTINATION,CZ
2473,TO_DESTINATION,CZ
2505,TO_DESTINATION,CZ
2537,TO_DESTINATION,CZ
2568,TO_DESTINATION,CZ
2599,TO_DESTINATION,CZ
2659,TO_DESTINATION,CZ
2691,TO_DESTINATION,CZ
2723,TO_DESTINATION,CZ
2754,TO_DESTINATION,CZ
2786,TO_DESTINATION,CZ
2818,TO_DESTINATION,CZ
2849,TO_DESTINATION,CZ
2880,TO_DESTINATION,CZ
2942,TO_DESTINATION,CZ
2974,TO_DESTINATION,CZ
3006,TO_DESTINATION,CZ
3038,TO_DESTINATION,CZ
3069,TO_DESTINATION,CZ
3100,TO_DESTINATION,CZ
3130,TO_DESTINATION,CZ
3162,TO_DESTINATION,CZ
3224,TO_DESTINATION,CZ
3255,TO_DESTINATION,CZ
3286,TO_DESTINATION,CZ
3316,TO_DESTINATION,CZ
3345,TO_DESTINATION,CZ
3374,TO_DESTINATION,CZ
3403,TO_DESTINATION,CZ
3432,TO_DESTINATION,CZ
3490,TO_DESTINATION,CZ
3519,TO_DESTINATION,CZ
3548,TO_DESTINATION,CZ
219,TO_DESTINATION,DE
248,TO_DESTINATION,DE
277,TO_DESTINATION,DE
306,TO_DESTINATION,DE
335,TO_DESTINATION,DE
361,TO_DESTINATION,DE
393,TO_DESTINATION,DE
422,TO_DESTINATION,DE
451,TO_DESTINATION,DE
480,TO_DESTINATION,DE
511,TO_DESTINATION,DE
542,TO_DESTINATION,DE
573,TO_DESTINATION,DE
604,TO_DESTINATION,DE
632,TO_DESTINATION,DE
666,TO_DESTINATION,DE
697,TO_DESTINATION,DE
728,TO_DESTINATION,DE
759,TO_DESTINATION,DE
790,TO_DESTINATION,DE
821,TO_DESTINATION,DE
852,TO_DESTINATION,DE
883,TO_DESTINATION,DE
910,TO_DESTINATION,DE
944,TO_DESTINATION,DE
975,TO_DESTINATION,DE
1006,TO_DESTINATION,DE
1037,TO_DESTINATION,DE
1068,TO_DESTINATION,DE
1099,TO_DESTINATION,DE
1130,TO_DESTINATION,DE
1161,TO_DESTINATION,DE
1189,TO_DESTINATION,DE
1222,TO_DESTINATION,DE
1253,TO_DESTINATION,DE
1284,TO_DESTINATION,DE
1315,TO_DESTINATION,DE
1347,TO_DESTINATION,DE
1379,TO_DESTINATION,DE
1411,TO_DESTINATION,DE
1443,TO_DESTINATION,DE
1472,TO_DESTINATION,DE
1506,TO_DESTINATION,DE
1538,TO_DESTINATION,DE
1570,TO_DESTINATION,DE
1603,TO_DESTINATION,DE
1636,TO_DESTINATION,DE
1669,TO_DESTINATION,DE
1701,TO_DESTINATION,DE
1734,TO_DESTINATION,DE
1764,TO_DESTINATION,DE
1800,TO_DESTINATION,DE
1833,TO_DESTINATION,DE
1866,TO_DESTINATION,DE
1898,TO_DESTINATION,DE
1930,TO_DESTINATION,DE
1962,TO_DESTINATION,DE
1993,TO_DESTINATION,DE
2025,TO_DESTINATION,DE
2055,TO_DESTINATION,DE
2090,TO_DESTINATION,DE
2122,TO_DESTINATION,DE
2154,TO_DESTINATION,DE
2187,TO_DESTINATION,DE
2219,TO_DESTINATION,DE
2251,TO_DESTINATION,DE
2283,TO_DESTINATION,DE
2315,TO_DESTINATION,DE
2344,TO_DESTINATION,DE
2378,TO_DESTINATION,DE
2410,TO_DESTINATION,DE
2442,TO_DESTINATION,DE
2474,TO_DESTINATION,DE
2506,TO_DESTINATION,DE
2538,TO_DESTINATION,DE
2569,TO_DESTINATION,DE
2600,TO_DESTINATION,DE
2626,TO_DESTINATION,DE
2660,TO_DESTINATION,DE
2692,TO_DESTINATION,DE
2724,TO_DESTINATION,DE
2755,TO_DESTINATION,DE
2787,TO_DESTINATION,DE
2819,TO_DESTINATION,DE
2850,TO_DESTINATION,DE
2881,TO_DESTINATION,DE
2908,TO_DESTINATION,DE
2943,TO_DESTINATION,DE
2975,TO_DESTINATION,DE
3007,TO_DESTINATION,DE
3039,TO_DESTINATION,DE
3070,TO_DESTINATION,DE
3101,TO_DESTINATION,DE
3131,TO_DESTINATION,DE
3163,TO_DESTINATION,DE
3189,TO_DESTINATION,DE
3225,TO_DESTINATION,DE
3256,TO_DESTINATION,DE
3287,TO_DESTINATION,DE
3317,TO_DESTINATION,DE
3346,TO_DESTINATION,DE
3375,TO_DESTINATION,DE
3404,TO_DESTINATION,DE
3433,TO_DESTINATION,DE
3458,TO_DESTINATION,DE
3491,TO_DESTINATION,DE
3520,TO_DESTINATION,DE
3549,TO_DESTINATION,DE
220,TO_DESTINATION,DK
249,TO_DESTINATION,DK
278,TO_DESTINATION,DK
307,TO_DESTINATION,DK
336,TO_DESTINATION,DK
362,TO_DESTINATION,DK
394,TO_DESTINATION,DK
423,TO_DESTINATION,DK
452,TO_DESTINATION,DK
481,TO_DESTINATION,DK
512,TO_DESTINATION,DK
543,TO_DESTINATION,DK
574,TO_DESTINATION,DK
605,TO_DESTINATION,DK
633,TO_DESTINATION,DK
667,TO_DESTINATION,DK
698,TO_DESTINATION,DK
729,TO_DESTINATION,DK
760,TO_DESTINATION,DK
791,TO_DESTINATION,DK
822,TO_DESTINATION,DK
853,TO_DESTINATION,DK
884,TO_DESTINATION,DK
