node_id,labels,props
259,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
260,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
261,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
262,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
263,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
264,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
265,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
266,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
267,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
268,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
269,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
270,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
271,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
272,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
273,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
274,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
275,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
276,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
277,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
278,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
279,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
280,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
281,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
282,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
283,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
284,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
285,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
286,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
287,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
288,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
289,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
290,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
291,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
292,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
293,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
294,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
295,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
296,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
297,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
298,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
299,[Trip],"{
  unit: EUR,
  duration: N_GE4,
  freq: A,
  year: 2012,
  purpose: PER
}"
300,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
301,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
302,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
303,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
304,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
