freq,age,purpose,duration,unit,geo,year,value
A,PER,DOM,N_GE1,Y15-24,NR,2012,65478218.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,10844849.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,345638067.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,1042548.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,6445358.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,77357335.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,438791989.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,15167189.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,111954290.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,6401163.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,6014718.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,2322444.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,27048039.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,1141806.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,50121.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,1142586.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,83083.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,16210699.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,35575925.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,5170537.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,11813394.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,619031.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,2653488.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,39804228.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,3559444.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,1340556.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,2434836.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,2741460.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,809819.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,16508956.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,72446344.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,7259271.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,369157892.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,1228988.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,6535896.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,64385562.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,469166413.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,13204743.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,129873192.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,4607605.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,7926012.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,3098871.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,40749931.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,1601741.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,1712710.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,96028.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,14598627.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,36782345.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,5668960.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,14254347.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,932856.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,2703245.0
A,PER,DOM,N_GE1,Y25-34,NR,2012,39838202.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,9762072.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,3190674.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,5121145.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,7225052.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,1605501.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,32057859.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,143476843.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,14481310.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,838390035.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,2074093.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,14888153.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,163438607.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,1022880328.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,23966969.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,296354110.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,9929344.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,16134394.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,6811864.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,104783144.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,2536599.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,11316.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,3131087.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,227360.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,30122185.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,62729692.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,14350014.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,27712059.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,1981463.0
A,PER,DOM,N_GE1,Y25-44,NR,2012,5748638.0
